page_folder,docx_file,note_index,title,char_count,images_count,images_list
Cierre Noviembre,mono 1.docx,1,[UNICA_NOTA] mono 1,0,0,
Pagina 11 Laguna Larga,LAGUNA LARGA.docx,1,Llega la 44ª Fiesta del Trigo,1320,0,
Pagina 11 Laguna Larga,LAGUNA LARGA.docx,2,Fiestas Patronales en Laguna Larga,1407,0,
Pagina 11 Laguna Larga,LAGUNA LARGA.docx,3,Nueva edición del Rally Cordobés,1406,0,
Pagina 11 Laguna Larga,LAGUNA LARGA.docx,4,Nuevo equipamiento de Guardia Civil y Guardia Local,1359,0,
Pagina 13 Las Junturas,Las Juntura1.docx,1,Las Junturas celebró su 112° aniversario con una gran fiesta popular,2290,0,
Pagina 13 Las Junturas,Las Juntura1.docx,2,Taller de Reciclaje “Separar para transformar”,504,0,
Pagina 13 Las Junturas,Las Juntura1.docx,3,Éxito del Taller de Oratoria en Las Junturas,766,0,
Pagina 13 Las Junturas,Las Juntura1.docx,4,Mantenimiento en la Estación de Bombeo,846,0,
Pagina 16 Oncativo Agroimpulso,Se inauguró el nuevo Centro de Bienestar Animal.docx,1,Se inauguró el nuevo Centro de Bienestar Animal “Zoonosis” en Oncativo,2342,0,
Pagina 16 Oncativo Agroimpulso,Se inauguró el nuevo Centro de Bienestar Animal.docx,2,Oncativo se prepara para vivir una nueva edición de “Oncativo De Muestra”,469,0,
Pagina 17 Muni temple,SANTIAGO TEMPLE.docx,1,Más seguridad en Santiago Temple,1122,0,
Pagina 17 Muni temple,SANTIAGO TEMPLE.docx,2,Entrega de aportes a instituciones locales,849,0,
Pagina 17 Muni temple,SANTIAGO TEMPLE.docx,3,Jornada de Salud Bucal en la Sala Cuna,1028,0,
Pagina 17 Muni temple,SANTIAGO TEMPLE.docx,4,Se confirmó la nueva fecha del Festival Nocturno de Jineteada y Folklore,890,0,
Pagina 18 Calchin oeste byn,Nueva unidad para el municipio.docx,1,Nueva unidad para el municipio,822,1,parques industriales.jpg
Pagina 18 Calchin oeste byn,Reunión de trabajo por anegamientos en la zona rural.docx,1,Reunión de trabajo por anegamientos en la zona rural,819,1,parques industriales.jpg
Pagina 18 Calchin oeste byn,Reunión de trabajo por anegamientos en la zona rural.docx,2,Visita del Secretario de Parques Industriales,822,1,parques industriales.jpg
Pagina 18 Calchin oeste byn,Reunión de trabajo por anegamientos en la zona rural.docx,3,Nueva Camioneta para el Destacamento Policial,755,1,parques industriales.jpg
Pagina 19 Columna Carolina,Mentalidad.docx,1,Mentalidad: El músculo invisible que transforma contextos,2409,0,
Pagina 19 Columna Carolina,Mentalidad.docx,2,Florencia Pesando,0,0,
Pagina 2 Matorrales,Agua potable para nuevo loteo en Matorrales.docx,1,Agua potable para nuevo loteo en Matorrales,830,2,ABC Lab.jpg;Agua potable.jpg
Pagina 2 Matorrales,Agua potable para nuevo loteo en Matorrales.docx,2,ABC LAB en la Biblioteca Municipal,839,2,ABC Lab.jpg;Agua potable.jpg
Pagina 5 y 6  Vdr,Visita del Subsecretario de Biodiversidad del Ministerio de Ambiente y Economía Circular.docx,1,Visita del Subsecretario de Biodiversidad del Ministerio de Ambiente y Economía Circular,366,29,001 subsecretario biodiversidad.jpg;001 subsecretario de ambiente.jpg;002 inauguración córdoba(1).jpg;002 inauguración córdoba.jpg;003 expo villa(1).JPG;003 expo villa.JPG;004 córdoba diabetes(1).jpg;004 córdoba diabetes.jpg;005 congreso regional de educación(1).jpg;005 congreso regional de educación.jpg;006 centro comercial a cielo abierto(1).JPG;006 centro comercial a cielo abierto.JPG;007 convenio teatro real(1).jpg;007 convenio teatro real.jpg;008 expo educativa(1).jpg;008 expo educativa.jpg;009 guardia urbana(1).jpg;009 guardia urbana.jpg;010 agentes en formación(1).jpg;010 agentes en formación.jpg;011 octubre rosa(1).jpg;011 octubre rosa.jpg;012 centro de acción preventiva(1).jpg;012 centro de acción preventiva.jpg;013 primera licencia(1).jpg;013 primera licencia.jpg;014 mat encuentro(1).jpg;014 mat encuentro.jpg;015 darío capitani.jpg
Pagina 5 y 6  Vdr,Visita del Subsecretario de Biodiversidad del Ministerio de Ambiente y Economía Circular.docx,2,Inauguración del primer tramo de la Calle Córdoba,755,29,001 subsecretario biodiversidad.jpg;001 subsecretario de ambiente.jpg;002 inauguración córdoba(1).jpg;002 inauguración córdoba.jpg;003 expo villa(1).JPG;003 expo villa.JPG;004 córdoba diabetes(1).jpg;004 córdoba diabetes.jpg;005 congreso regional de educación(1).jpg;005 congreso regional de educación.jpg;006 centro comercial a cielo abierto(1).JPG;006 centro comercial a cielo abierto.JPG;007 convenio teatro real(1).jpg;007 convenio teatro real.jpg;008 expo educativa(1).jpg;008 expo educativa.jpg;009 guardia urbana(1).jpg;009 guardia urbana.jpg;010 agentes en formación(1).jpg;010 agentes en formación.jpg;011 octubre rosa(1).jpg;011 octubre rosa.jpg;012 centro de acción preventiva(1).jpg;012 centro de acción preventiva.jpg;013 primera licencia(1).jpg;013 primera licencia.jpg;014 mat encuentro(1).jpg;014 mat encuentro.jpg;015 darío capitani.jpg
Pagina 5 y 6  Vdr,Visita del Subsecretario de Biodiversidad del Ministerio de Ambiente y Economía Circular.docx,3,"62° edición de la Expo Villa: dos días de tradición, trabajo y comunidad",1790,29,001 subsecretario biodiversidad.jpg;001 subsecretario de ambiente.jpg;002 inauguración córdoba(1).jpg;002 inauguración córdoba.jpg;003 expo villa(1).JPG;003 expo villa.JPG;004 córdoba diabetes(1).jpg;004 córdoba diabetes.jpg;005 congreso regional de educación(1).jpg;005 congreso regional de educación.jpg;006 centro comercial a cielo abierto(1).JPG;006 centro comercial a cielo abierto.JPG;007 convenio teatro real(1).jpg;007 convenio teatro real.jpg;008 expo educativa(1).jpg;008 expo educativa.jpg;009 guardia urbana(1).jpg;009 guardia urbana.jpg;010 agentes en formación(1).jpg;010 agentes en formación.jpg;011 octubre rosa(1).jpg;011 octubre rosa.jpg;012 centro de acción preventiva(1).jpg;012 centro de acción preventiva.jpg;013 primera licencia(1).jpg;013 primera licencia.jpg;014 mat encuentro(1).jpg;014 mat encuentro.jpg;015 darío capitani.jpg
Pagina 5 y 6  Vdr,Visita del Subsecretario de Biodiversidad del Ministerio de Ambiente y Economía Circular.docx,4,Villa del Rosario continúa apostando por la salud,872,29,001 subsecretario biodiversidad.jpg;001 subsecretario de ambiente.jpg;002 inauguración córdoba(1).jpg;002 inauguración córdoba.jpg;003 expo villa(1).JPG;003 expo villa.JPG;004 córdoba diabetes(1).jpg;004 córdoba diabetes.jpg;005 congreso regional de educación(1).jpg;005 congreso regional de educación.jpg;006 centro comercial a cielo abierto(1).JPG;006 centro comercial a cielo abierto.JPG;007 convenio teatro real(1).jpg;007 convenio teatro real.jpg;008 expo educativa(1).jpg;008 expo educativa.jpg;009 guardia urbana(1).jpg;009 guardia urbana.jpg;010 agentes en formación(1).jpg;010 agentes en formación.jpg;011 octubre rosa(1).jpg;011 octubre rosa.jpg;012 centro de acción preventiva(1).jpg;012 centro de acción preventiva.jpg;013 primera licencia(1).jpg;013 primera licencia.jpg;014 mat encuentro(1).jpg;014 mat encuentro.jpg;015 darío capitani.jpg
Pagina 5 y 6  Vdr,Visita del Subsecretario de Biodiversidad del Ministerio de Ambiente y Economía Circular.docx,5,Villa del Rosario fue sede del 2° Congreso Regional de Educación,3101,29,001 subsecretario biodiversidad.jpg;001 subsecretario de ambiente.jpg;002 inauguración córdoba(1).jpg;002 inauguración córdoba.jpg;003 expo villa(1).JPG;003 expo villa.JPG;004 córdoba diabetes(1).jpg;004 córdoba diabetes.jpg;005 congreso regional de educación(1).jpg;005 congreso regional de educación.jpg;006 centro comercial a cielo abierto(1).JPG;006 centro comercial a cielo abierto.JPG;007 convenio teatro real(1).jpg;007 convenio teatro real.jpg;008 expo educativa(1).jpg;008 expo educativa.jpg;009 guardia urbana(1).jpg;009 guardia urbana.jpg;010 agentes en formación(1).jpg;010 agentes en formación.jpg;011 octubre rosa(1).jpg;011 octubre rosa.jpg;012 centro de acción preventiva(1).jpg;012 centro de acción preventiva.jpg;013 primera licencia(1).jpg;013 primera licencia.jpg;014 mat encuentro(1).jpg;014 mat encuentro.jpg;015 darío capitani.jpg
Pagina 5 y 6  Vdr,Visita del Subsecretario de Biodiversidad del Ministerio de Ambiente y Economía Circular.docx,6,Inauguración del Centro Comercial a Cielo Abierto,629,29,001 subsecretario biodiversidad.jpg;001 subsecretario de ambiente.jpg;002 inauguración córdoba(1).jpg;002 inauguración córdoba.jpg;003 expo villa(1).JPG;003 expo villa.JPG;004 córdoba diabetes(1).jpg;004 córdoba diabetes.jpg;005 congreso regional de educación(1).jpg;005 congreso regional de educación.jpg;006 centro comercial a cielo abierto(1).JPG;006 centro comercial a cielo abierto.JPG;007 convenio teatro real(1).jpg;007 convenio teatro real.jpg;008 expo educativa(1).jpg;008 expo educativa.jpg;009 guardia urbana(1).jpg;009 guardia urbana.jpg;010 agentes en formación(1).jpg;010 agentes en formación.jpg;011 octubre rosa(1).jpg;011 octubre rosa.jpg;012 centro de acción preventiva(1).jpg;012 centro de acción preventiva.jpg;013 primera licencia(1).jpg;013 primera licencia.jpg;014 mat encuentro(1).jpg;014 mat encuentro.jpg;015 darío capitani.jpg
Pagina 5 y 6  Vdr,Visita del Subsecretario de Biodiversidad del Ministerio de Ambiente y Economía Circular.docx,7,Firma de convenio con el Teatro Real en marco del Programa Infancias CBA,605,29,001 subsecretario biodiversidad.jpg;001 subsecretario de ambiente.jpg;002 inauguración córdoba(1).jpg;002 inauguración córdoba.jpg;003 expo villa(1).JPG;003 expo villa.JPG;004 córdoba diabetes(1).jpg;004 córdoba diabetes.jpg;005 congreso regional de educación(1).jpg;005 congreso regional de educación.jpg;006 centro comercial a cielo abierto(1).JPG;006 centro comercial a cielo abierto.JPG;007 convenio teatro real(1).jpg;007 convenio teatro real.jpg;008 expo educativa(1).jpg;008 expo educativa.jpg;009 guardia urbana(1).jpg;009 guardia urbana.jpg;010 agentes en formación(1).jpg;010 agentes en formación.jpg;011 octubre rosa(1).jpg;011 octubre rosa.jpg;012 centro de acción preventiva(1).jpg;012 centro de acción preventiva.jpg;013 primera licencia(1).jpg;013 primera licencia.jpg;014 mat encuentro(1).jpg;014 mat encuentro.jpg;015 darío capitani.jpg
Pagina 5 y 6  Vdr,Visita del Subsecretario de Biodiversidad del Ministerio de Ambiente y Economía Circular.docx,8,Expo Educativa y Cultural 2025: así se vivió el cierre de esta gran edición,3872,29,001 subsecretario biodiversidad.jpg;001 subsecretario de ambiente.jpg;002 inauguración córdoba(1).jpg;002 inauguración córdoba.jpg;003 expo villa(1).JPG;003 expo villa.JPG;004 córdoba diabetes(1).jpg;004 córdoba diabetes.jpg;005 congreso regional de educación(1).jpg;005 congreso regional de educación.jpg;006 centro comercial a cielo abierto(1).JPG;006 centro comercial a cielo abierto.JPG;007 convenio teatro real(1).jpg;007 convenio teatro real.jpg;008 expo educativa(1).jpg;008 expo educativa.jpg;009 guardia urbana(1).jpg;009 guardia urbana.jpg;010 agentes en formación(1).jpg;010 agentes en formación.jpg;011 octubre rosa(1).jpg;011 octubre rosa.jpg;012 centro de acción preventiva(1).jpg;012 centro de acción preventiva.jpg;013 primera licencia(1).jpg;013 primera licencia.jpg;014 mat encuentro(1).jpg;014 mat encuentro.jpg;015 darío capitani.jpg
Pagina 5 y 6  Vdr,Visita del Subsecretario de Biodiversidad del Ministerio de Ambiente y Economía Circular.docx,9,Nuevos móviles para la Guardia Local de Prevención y Convivencia Ciudadana,1617,29,001 subsecretario biodiversidad.jpg;001 subsecretario de ambiente.jpg;002 inauguración córdoba(1).jpg;002 inauguración córdoba.jpg;003 expo villa(1).JPG;003 expo villa.JPG;004 córdoba diabetes(1).jpg;004 córdoba diabetes.jpg;005 congreso regional de educación(1).jpg;005 congreso regional de educación.jpg;006 centro comercial a cielo abierto(1).JPG;006 centro comercial a cielo abierto.JPG;007 convenio teatro real(1).jpg;007 convenio teatro real.jpg;008 expo educativa(1).jpg;008 expo educativa.jpg;009 guardia urbana(1).jpg;009 guardia urbana.jpg;010 agentes en formación(1).jpg;010 agentes en formación.jpg;011 octubre rosa(1).jpg;011 octubre rosa.jpg;012 centro de acción preventiva(1).jpg;012 centro de acción preventiva.jpg;013 primera licencia(1).jpg;013 primera licencia.jpg;014 mat encuentro(1).jpg;014 mat encuentro.jpg;015 darío capitani.jpg
Pagina 5 y 6  Vdr,Visita del Subsecretario de Biodiversidad del Ministerio de Ambiente y Economía Circular.docx,10,Agentes locales en formación,463,29,001 subsecretario biodiversidad.jpg;001 subsecretario de ambiente.jpg;002 inauguración córdoba(1).jpg;002 inauguración córdoba.jpg;003 expo villa(1).JPG;003 expo villa.JPG;004 córdoba diabetes(1).jpg;004 córdoba diabetes.jpg;005 congreso regional de educación(1).jpg;005 congreso regional de educación.jpg;006 centro comercial a cielo abierto(1).JPG;006 centro comercial a cielo abierto.JPG;007 convenio teatro real(1).jpg;007 convenio teatro real.jpg;008 expo educativa(1).jpg;008 expo educativa.jpg;009 guardia urbana(1).jpg;009 guardia urbana.jpg;010 agentes en formación(1).jpg;010 agentes en formación.jpg;011 octubre rosa(1).jpg;011 octubre rosa.jpg;012 centro de acción preventiva(1).jpg;012 centro de acción preventiva.jpg;013 primera licencia(1).jpg;013 primera licencia.jpg;014 mat encuentro(1).jpg;014 mat encuentro.jpg;015 darío capitani.jpg
Pagina 5 y 6  Vdr,Visita del Subsecretario de Biodiversidad del Ministerio de Ambiente y Economía Circular.docx,11,Octubre Rosa: concientización sobre el cáncer de mama,1177,29,001 subsecretario biodiversidad.jpg;001 subsecretario de ambiente.jpg;002 inauguración córdoba(1).jpg;002 inauguración córdoba.jpg;003 expo villa(1).JPG;003 expo villa.JPG;004 córdoba diabetes(1).jpg;004 córdoba diabetes.jpg;005 congreso regional de educación(1).jpg;005 congreso regional de educación.jpg;006 centro comercial a cielo abierto(1).JPG;006 centro comercial a cielo abierto.JPG;007 convenio teatro real(1).jpg;007 convenio teatro real.jpg;008 expo educativa(1).jpg;008 expo educativa.jpg;009 guardia urbana(1).jpg;009 guardia urbana.jpg;010 agentes en formación(1).jpg;010 agentes en formación.jpg;011 octubre rosa(1).jpg;011 octubre rosa.jpg;012 centro de acción preventiva(1).jpg;012 centro de acción preventiva.jpg;013 primera licencia(1).jpg;013 primera licencia.jpg;014 mat encuentro(1).jpg;014 mat encuentro.jpg;015 darío capitani.jpg
Pagina 5 y 6  Vdr,Visita del Subsecretario de Biodiversidad del Ministerio de Ambiente y Economía Circular.docx,12,Acto de Apertura del Centro de Acción Preventiva Villa del Rosario,870,29,001 subsecretario biodiversidad.jpg;001 subsecretario de ambiente.jpg;002 inauguración córdoba(1).jpg;002 inauguración córdoba.jpg;003 expo villa(1).JPG;003 expo villa.JPG;004 córdoba diabetes(1).jpg;004 córdoba diabetes.jpg;005 congreso regional de educación(1).jpg;005 congreso regional de educación.jpg;006 centro comercial a cielo abierto(1).JPG;006 centro comercial a cielo abierto.JPG;007 convenio teatro real(1).jpg;007 convenio teatro real.jpg;008 expo educativa(1).jpg;008 expo educativa.jpg;009 guardia urbana(1).jpg;009 guardia urbana.jpg;010 agentes en formación(1).jpg;010 agentes en formación.jpg;011 octubre rosa(1).jpg;011 octubre rosa.jpg;012 centro de acción preventiva(1).jpg;012 centro de acción preventiva.jpg;013 primera licencia(1).jpg;013 primera licencia.jpg;014 mat encuentro(1).jpg;014 mat encuentro.jpg;015 darío capitani.jpg
Pagina 5 y 6  Vdr,Visita del Subsecretario de Biodiversidad del Ministerio de Ambiente y Economía Circular.docx,13,“Mi Primera Licencia”: más de 200 jóvenes ya rindieron el examen teórico,686,29,001 subsecretario biodiversidad.jpg;001 subsecretario de ambiente.jpg;002 inauguración córdoba(1).jpg;002 inauguración córdoba.jpg;003 expo villa(1).JPG;003 expo villa.JPG;004 córdoba diabetes(1).jpg;004 córdoba diabetes.jpg;005 congreso regional de educación(1).jpg;005 congreso regional de educación.jpg;006 centro comercial a cielo abierto(1).JPG;006 centro comercial a cielo abierto.JPG;007 convenio teatro real(1).jpg;007 convenio teatro real.jpg;008 expo educativa(1).jpg;008 expo educativa.jpg;009 guardia urbana(1).jpg;009 guardia urbana.jpg;010 agentes en formación(1).jpg;010 agentes en formación.jpg;011 octubre rosa(1).jpg;011 octubre rosa.jpg;012 centro de acción preventiva(1).jpg;012 centro de acción preventiva.jpg;013 primera licencia(1).jpg;013 primera licencia.jpg;014 mat encuentro(1).jpg;014 mat encuentro.jpg;015 darío capitani.jpg
Pagina 5 y 6  Vdr,Visita del Subsecretario de Biodiversidad del Ministerio de Ambiente y Economía Circular.docx,14,"Mat - Encuentro, Matemática en Acción: del Primario al Secundario",743,29,001 subsecretario biodiversidad.jpg;001 subsecretario de ambiente.jpg;002 inauguración córdoba(1).jpg;002 inauguración córdoba.jpg;003 expo villa(1).JPG;003 expo villa.JPG;004 córdoba diabetes(1).jpg;004 córdoba diabetes.jpg;005 congreso regional de educación(1).jpg;005 congreso regional de educación.jpg;006 centro comercial a cielo abierto(1).JPG;006 centro comercial a cielo abierto.JPG;007 convenio teatro real(1).jpg;007 convenio teatro real.jpg;008 expo educativa(1).jpg;008 expo educativa.jpg;009 guardia urbana(1).jpg;009 guardia urbana.jpg;010 agentes en formación(1).jpg;010 agentes en formación.jpg;011 octubre rosa(1).jpg;011 octubre rosa.jpg;012 centro de acción preventiva(1).jpg;012 centro de acción preventiva.jpg;013 primera licencia(1).jpg;013 primera licencia.jpg;014 mat encuentro(1).jpg;014 mat encuentro.jpg;015 darío capitani.jpg
Pagina 5 y 6  Vdr,Visita del Subsecretario de Biodiversidad del Ministerio de Ambiente y Economía Circular.docx,15,El Intendente Carballo se reunió con el Presidente de la Agencia Córdoba Turismo,317,29,001 subsecretario biodiversidad.jpg;001 subsecretario de ambiente.jpg;002 inauguración córdoba(1).jpg;002 inauguración córdoba.jpg;003 expo villa(1).JPG;003 expo villa.JPG;004 córdoba diabetes(1).jpg;004 córdoba diabetes.jpg;005 congreso regional de educación(1).jpg;005 congreso regional de educación.jpg;006 centro comercial a cielo abierto(1).JPG;006 centro comercial a cielo abierto.JPG;007 convenio teatro real(1).jpg;007 convenio teatro real.jpg;008 expo educativa(1).jpg;008 expo educativa.jpg;009 guardia urbana(1).jpg;009 guardia urbana.jpg;010 agentes en formación(1).jpg;010 agentes en formación.jpg;011 octubre rosa(1).jpg;011 octubre rosa.jpg;012 centro de acción preventiva(1).jpg;012 centro de acción preventiva.jpg;013 primera licencia(1).jpg;013 primera licencia.jpg;014 mat encuentro(1).jpg;014 mat encuentro.jpg;015 darío capitani.jpg
Pagina 7 Carrilobo,CARRILOBO.docx,1,Myrian Prunotto visitó Carrilobo: inauguración e importantes anuncios,1610,0,
Pagina 7 Carrilobo,CARRILOBO.docx,2,Carrilobo fue sede de la Expo Alfa Córdoba 2025,1122,0,
Pagina 8 Rincon,Reunión de la Comunidad Regional Río II.docx,1,Prunotto en Rincón,1299,0,
Pagina 8 Rincon,Reunión de la Comunidad Regional Río II.docx,2,Reunión de la Comunidad Regional Río II,752,0,
Pagina 9 Luque,LIQUE.docx,1,Vecinos de Luque recibieron sus escrituras,926,0,
Pagina 9 Luque,LIQUE.docx,2,Gran éxito del Maratón “Luque Corre 2025”,776,0,
Pagina 9 Luque,LIQUE.docx,3,Cierre del ciclo de orientación vocacional,792,0,
Pagina 9 Luque,LIQUE.docx,4,Jornada recreativa del Taller de Niños en la Ermita,703,0,
Página 12  Muni Calchin,Festejos Patronales de Calchín.docx,1,Festejos Patronales de Calchín,1179,0,
Página 12  Muni Calchin,Festejos Patronales de Calchín.docx,2,Primer Bebé en la Clínica Cooperativa Calchín,680,0,
Página 12  Muni Calchin,Festejos Patronales de Calchín.docx,3,Seguridad vial en Calchín,760,0,
Página 12  Muni Calchin,Festejos Patronales de Calchín.docx,4,5° Caminata Rosa: Concientización sobre el cáncer de mama,625,0,
Página 12  Muni Calchin,Festejos Patronales de Calchín.docx,5,Se realizó en Calchín el Octavo Cicloturismo Rural,787,0,
